npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/15/2026 8:59:11 AM ::1 GET /
 HTTP  4/15/2026 8:59:11 AM ::1 Returned 200 in 45 ms
 HTTP  4/15/2026 8:59:11 AM ::1 GET /index.css
 HTTP  4/15/2026 8:59:11 AM ::1 GET /prescript.js
 HTTP  4/15/2026 8:59:11 AM ::1 GET /postscript.js
 HTTP  4/15/2026 8:59:11 AM ::1 Returned 200 in 7 ms
 HTTP  4/15/2026 8:59:11 AM ::1 Returned 200 in 6 ms
 HTTP  4/15/2026 8:59:11 AM ::1 Returned 200 in 23 ms
 HTTP  4/15/2026 8:59:12 AM ::1 GET /static/contentIndex.json
 HTTP  4/15/2026 8:59:12 AM ::1 Returned 200 in 8 ms
 HTTP  4/15/2026 9:30:55 AM ::1 GET /
 HTTP  4/15/2026 9:30:55 AM ::1 Returned 200 in 85 ms
 HTTP  4/15/2026 9:30:55 AM ::1 GET /index.css
 HTTP  4/15/2026 9:30:55 AM ::1 GET /prescript.js
 HTTP  4/15/2026 9:30:55 AM ::1 GET /postscript.js
 HTTP  4/15/2026 9:30:55 AM ::1 Returned 200 in 21 ms
 HTTP  4/15/2026 9:30:55 AM ::1 Returned 200 in 20 ms
 HTTP  4/15/2026 9:30:55 AM ::1 Returned 200 in 62 ms
 HTTP  4/15/2026 9:30:56 AM ::1 GET /static/contentIndex.json
 HTTP  4/15/2026 9:30:56 AM ::1 Returned 200 in 167 ms
