 INFO  Accepting connections at http://localhost:3000
 HTTP  4/15/2026 1:06:35 AM ::1 GET /
 HTTP  4/15/2026 1:06:35 AM ::1 Returned 200 in 44 ms
 HTTP  4/15/2026 1:06:35 AM ::1 GET /index.css
 HTTP  4/15/2026 1:06:35 AM ::1 GET /prescript.js
 HTTP  4/15/2026 1:06:35 AM ::1 GET /postscript.js
 HTTP  4/15/2026 1:06:35 AM ::1 Returned 200 in 12 ms
 HTTP  4/15/2026 1:06:35 AM ::1 Returned 200 in 9 ms
 HTTP  4/15/2026 1:06:35 AM ::1 Returned 200 in 38 ms
 HTTP  4/15/2026 1:06:35 AM ::1 GET /static/contentIndex.json
 HTTP  4/15/2026 1:06:35 AM ::1 Returned 200 in 17 ms
